stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
270,275,"[-0.0022606071616723122,-0.0014600096231752735,-0.0029169416128920767,0.015323277215639142]","[-0.0031695091999542594,-0.00016839976062818924,-0.0027670151512045674,0.00849545429794303]","[0.00090890203828186,-0.0012916098625470763,-0.00014992646168755092,0.0068278229176960675]",0.015828876960780117,0.00948173315504126,0.0070097077465149414,1.0619360406694274e-16,0.060606060606060635,3,3,neutral_bottleneck_mutable,14003
275,280,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
280,285,"[-0.01773054203618496,-0.019131708819163484,0.0030316546012987833,-0.010340856019524669]","[-0.006934886364571489,0.0015941941098110823,-0.0020824088647013843,0.00013653776878285416]","[-0.010795655671613412,-0.02072590292897459,0.005114063466000258,-0.010477393788307539]",0.028222661746835565,0.007415468494395146,0.026115869875056052,1.1087312444032211e-16,0.06666666666666668,3,3,neutral_bottleneck_mutable,14003
285,290,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
290,295,"[0.0033247645708902596,0.0168942400108692,-0.0035271095302001343,-0.002651593956453868]","[-0.006277786504630588,-0.004810714002194929,0.0008460737179150561,-0.004836930374758495]","[0.00960255107552088,0.021704954013064163,-0.004373183248115205,0.002185336418304618]",0.017774725234012256,0.009309420432822025,0.02423250797688884,5.0696162070100035e-17,0.06363636363636366,3,3,neutral_bottleneck_mutable,14003
295,300,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
300,305,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
305,310,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
310,315,"[0.0012488362553342292,0.002680052789780063,-0.004053479003460703,0.00017327401398770093]","[1.9053382316672782e-06,0.003443502230535823,-0.0027854108608172333,-0.008046385535505393]","[0.0012469309171025383,-0.0007634494407557438,-0.0012680681426434845,0.008219659549493101]",0.005020258047557446,0.00918479967618064,0.008444435545646426,3.328694902037566e-17,0.060606060606060635,3,3,neutral_bottleneck_mutable,14003
315,320,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
320,325,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
325,330,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
330,335,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
335,339,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
179,180,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,31,31,scarcity_mutable,14011
180,185,"[0.003211940592270146,-0.0036110178864106612,0.0002100686342642044,-0.00743011439566843]","[-7.22635965255405e-05,-0.00017802702575650417,0.0004992851564338999,-0.0003706432201004352]","[0.003284204188795803,-0.0034329908606541516,-0.0002892165221695594,-0.007059471175568018]",0.008866044287509018,0.0006508284822625364,0.008514176582524607,1.804938490243283e-16,0.03632478632478637,31,30,scarcity_mutable,14011
185,190,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,30,30,scarcity_mutable,14011
